#
# Automatically generated CSV file of semi-static open proxy exits
# which have been active for a minimum of 7 days. These proxies have
# a 83.2% statistical likelihood of remaining actively exploitable for
# another 7 days or more.
#
# Generated: Sat Jul 25 23:59:47 2026
# Reference: https://github.com/mannfredcom/semi-static-proxy-ips/
#
proxy exit ip,optional comment
103.102.136.177,entry is 103.102.138.218
103.102.14.33,
103.102.14.34,entry is 103.102.12.105
103.102.14.48,entry is 103.102.14.51
103.102.141.39,
103.102.141.40,
103.102.142.98,
103.102.145.182,entry is 103.80.118.33
103.102.167.234,entry is 103.143.105.138
103.102.85.1,
103.103.115.11,
103.103.115.218,
103.103.145.13,
103.103.146.161,undocumented TOR exit
103.103.193.194,
103.103.3.6,
103.104.142.32,entry is 103.104.142.161
103.104.142.33,entry is 103.104.142.161
103.104.142.34,entry is 103.104.142.161
103.104.142.37,entry is 103.104.142.161
103.104.142.39,entry is 103.104.142.161
103.104.142.40,entry is 103.104.142.161
103.104.142.41,entry is 103.104.142.161
103.104.142.43,entry is 103.104.142.162
103.104.142.46,entry is 103.104.142.161
103.104.142.47,entry is 103.104.142.162
103.104.142.49,entry is 103.104.142.162
103.104.142.50,entry is 103.104.142.161
103.104.142.51,entry is 103.104.142.162
103.104.142.54,entry is 103.104.142.161
103.104.142.56,entry is 103.104.142.161
103.104.142.59,entry is 103.104.142.162
103.104.142.61,entry is 103.104.142.161
103.105.40.250,entry is 103.105.40.13
103.105.55.211,entry is 103.165.157.107
103.105.76.10,
103.105.76.20,
103.105.76.23,
103.105.76.94,
103.105.78.171,
103.105.78.207,
103.105.78.217,
103.105.78.229,
103.106.112.166,
103.106.115.118,
103.106.119.217,
103.106.195.145,entry is 103.106.195.150
103.106.216.231,
103.106.219.115,
103.106.219.117,entry is 103.106.219.115
103.106.219.213,
103.106.34.42,entry is 115.127.182.38
103.106.34.49,
103.106.79.253,
103.107.117.242,
103.107.197.152,entry is 103.107.197.146
103.107.197.153,entry is 103.107.197.146
103.107.197.156,entry is 103.107.197.146
103.107.198.234,entry is 103.107.198.226
103.107.198.236,entry is 103.107.198.226
103.107.79.250,entry is 103.107.79.249
103.107.84.191,
103.109.238.209,entry is 116.204.229.227
103.109.96.86,entry is 103.109.96.57
103.11.99.125,entry is 103.11.99.126
103.110.10.166,
103.110.10.174,
103.110.101.153,entry is 103.110.100.25
103.110.109.11,entry is 103.110.109.53
103.110.11.218,
103.110.11.219,
103.111.136.82,
103.111.192.21,entry is 160.22.234.4
103.111.22.26,entry is 103.111.22.65
103.111.30.202,entry is 103.188.174.7
103.111.99.253,
103.112.123.205,
103.112.131.14,entry is 103.112.130.14
103.112.136.30,
103.112.212.158,entry is 103.112.212.57
103.112.45.43,
103.112.64.116,entry is 103.17.150.37
103.112.65.238,entry is 103.191.99.108
103.112.69.58,
103.113.152.73,
103.113.3.22,
103.114.25.2,entry is 103.114.25.8
103.114.97.175,entry is 103.42.203.60
103.114.97.59,
103.115.196.98,
103.115.198.39,
103.115.20.34,
103.115.242.45,entry is 103.109.96.180
