#
# Automatically generated CSV file of semi-static open proxy exits
# which have been active for a minimum of 30 days. These proxies have
# a 93.6% statistical likelihood of remaining actively exploitable for
# another 7 days or more.
#
# Generated: Mon Aug 10 02:03:04 2026
# Reference: https://github.com/mannfredcom/semi-static-proxy-ips/
#
proxy exit ip,optional comment
2604:9cc0:1e::b52c:cb88,entry is 45.145.73.240
2604:a880:2:d1:0:1:6065:3001,entry is 157.230.136.114
2604:a880:400:d1:0:4:52e1:d001,entry is 161.35.56.204
2605:4c40:33:9849:0:a863:daa:1,entry is 169.155.50.87
2605:52c0:2:23d1:be24:11ff:fe17:38c4,entry is 182.37.40.106
2605:6404:18a::1,entry is 45.61.188.134
2605:7280:7::2000:1002,entry is 198.200.57.154
2605:e440:3c::1c4,entry is 132.243.239.24
2607:5300:205:200::81f8,entry is 51.79.71.202
2607:5300:205:200::96f0,entry is 158.69.60.88
2607:5300:229:507::1,entry is 148.113.167.24
2607:5300:229:6ad::1,entry is 158.69.49.179
2607:5300:229:6ae::1,entry is 158.69.49.180
2607:5300:229:6af::1,entry is 158.69.49.178
2800:490:4001:c900::2,entry is 181.225.75.83
2800:490:4002:af00::2,entry is 181.225.75.98
2803:1510:26::12,entry is 38.253.95.80
2803:15d0:10::1,entry is 177.234.217.56
2803:2540:b2:89::,entry is 177.234.217.238
2803:2b00:1100:38::3,entry is 190.61.85.225
2803:2e90:1ff::2,entry is 181.188.216.3
2803:3c80:8000::46,entry is 179.61.110.253
2803:3e0:3e8:3e8::52,entry is 38.211.76.17
2803:3e0:5f40:3e8::e,entry is 131.100.49.109
2803:44d0:480::,entry is 38.191.218.54
2803:49e0:9:ffff::1,entry is 200.39.153.1
2803:4de0:1::1,entry is 181.78.233.10
2803:5590:17:1::1,entry is 38.188.101.197
2803:590::3,entry is 138.117.13.65
2803:590::6,entry is 138.117.13.129
2803:5b90:ff04::2,entry is 38.253.86.141
2803:5b90:ff05::2,entry is 38.253.86.11
2803:5e40:a000:35::2,entry is 170.245.50.225
2803:5f90:5800::,entry is 38.183.183.114
2803:6a10:7000:1::2,entry is 167.249.30.64
2803:7090:122::,entry is 45.170.102.17
2803:7a20:80:1::2,entry is 45.225.204.97
2803:7a20:80:3::2,entry is 45.225.204.10
2803:7d10:1::3,entry is 187.63.156.230
2803:8b80:100:100::16,entry is 131.221.42.1
2803:9450:80f0::5a,entry is 190.93.224.32
2803:9a90:36:23::2,entry is 38.156.235.173
2803:9a90:3:32::2,entry is 38.156.238.67
2803:9a90:9:32::2,entry is 38.156.233.220
2803:9c90:100:0:120::2,entry is 38.158.83.65
2803:9c90:1100::2,entry is 38.158.83.161
2803:9c90:a010:0:a55:31ff:fe5c:15bc,entry is 38.158.83.193
2803:a8a0::36,entry is 45.236.170.178
2803:aa20:8000::1,entry is 45.225.89.145
2803:ace0:189::13:2,entry is 190.93.189.139
2803:ace0:189::2:2,entry is 190.93.191.10
2803:b350:c00::,entry is 186.96.97.202
2803:bc40:8100:61::3,entry is 181.119.67.133
2803:c690:1:2::2,entry is 38.7.223.128
2803:ccd0:802:2::100,entry is 45.182.21.150
2803:ce10:2e::1,entry is 200.24.138.73
2803:d060:ff10:f::2,entry is 45.173.207.126
2803:d6d0:2101::2,entry is 38.7.195.40
2803:d710:1::122,entry is 38.191.85.108
2803:d760:3000::1a,entry is 190.97.246.194
2803:d90:510::2,entry is 179.1.48.37
2803:d90:512::2,entry is 181.119.84.122
2803:d90:f000:504::2,entry is 181.119.84.134
