#
# Automatically generated CSV file of semi-static open proxy exits
# which have been active for a minimum of 7 days. These proxies have
# a 83.2% statistical likelihood of remaining actively exploitable for
# another 7 days or more.
#
# Generated: Sun Feb 15 23:52:07 2026
# Reference: https://github.com/mannfredcom/semi-static-proxy-ips/
#
proxy exit ip,optional comment
2408:8215:391a:fc90:95a0:3b9a:bb00:515b,entry is 47.83.243.232
2408:8215:391a:fc90:b9fb:1748:ffdd:f536,entry is 47.83.243.232
2408:8220:163:a9a0:b660:77ff:fedb:535c,entry is 103.215.36.88
2408:822e:c693:c8c0:62d2:1cff:fea4:2467,entry is 103.215.36.88
2409:8728:32f1:11::1010,entry is 183.249.5.109
2409:8a1a:7621:f774:6231:3bff:fe02:9239,entry is 103.215.36.88
2409:8a20:9230:6700:6231:3bff:fe11:f2d,entry is 103.215.36.88
2409:8a20:9625:d450:5c3b:50ff:fead:e7f,entry is 103.215.36.88
2409:8a30:9a70:14e0:ce62:feff:fe92:c094,entry is 103.215.36.88
2409:8a3c:3900:1c50:3da1:d721:bbd2:5c07,entry is 47.239.241.230
2409:8a3c:391a:2530:4cf6:e6e7:3043:5508,entry is 103.215.36.88
2409:8a3c:6151:52c1:9c9a:317b:c416:4c1f,entry is 103.215.36.88
2409:8a3c:6cc1:53f0:99a:d99b:f23a:11a7,entry is 103.215.36.88
2409:8a50:be13:2ed0:230:1bff:feba:2db,entry is 103.215.36.88
240e:370:3d09:5510:5404:9879:a844:7cf5,entry is 8.218.152.184
240e:37c:4413:7b00::d6,entry is 103.215.36.88
240e:6a0:2701:201::16a,entry is 222.184.48.251
2600:1700:2240:e820:fc36:d6d1:1d8a:e036,entry is 185.163.204.154
2600:1702:1ec0:ec10:2174:c3ea:3f23:7518,entry is 185.163.204.154
2600:3c02::f03c:93ff:feaa:64b3,entry is 45.79.203.254
2600:4040:a7eb:6c00:321:c408:f6eb:273f,entry is 43.250.54.139
2600:8801:3900:5800:56a5:89b6:1d7e:610,entry is 185.163.204.154
2601:2c6:8401:a5f0:4270:5353:1ecb:9ae8,entry is 185.163.204.154
2601:40f:4001:3350:5a2d:d092:dd7c:2412,entry is 185.163.204.154
2601:449:4400:cbc0:a054:b915:d98:c2e1,entry is 185.163.204.154
2601:58a:8403:7a90:f3f5:588f:2f80:1e11,entry is 43.250.54.139
2601:840:4302:4fc0:7cfd:1470:4f6d:a965,entry is 43.250.54.139
2602:ffc5:20::2:8740,entry is 104.128.228.69
2603:6011:4af0:91b0:c62f:feff:fe58:c4c4,entry is 43.250.54.139
2603:6080:1ff0:2280:c8e7:49f4:2c14:8220,entry is 45.150.65.34
2603:8000:f700:a692:2dbf:8bc0:9501:5bd9,entry is 185.163.204.154
2603:c024:4502:4fcc:0:1acd:3104:e9e,entry is 213.35.110.67
2603:c024:4502:4fcc:0:214:6840:2f02,entry is 213.35.110.67
2604:180:f3::5f,entry is 168.235.110.63
2604:9cc0:1d:271:f626:5a74:44cc:1254,entry is 183.62.76.91
2605:4300:1212::23b,entry is 104.129.203.245
2605:6404:18a:52ca:b01c:1a19:287d:84dd,entry is 45.61.188.134
2605:6404:18a:588c:cbf0:4d84:3a8d:70,entry is 45.61.188.134
2605:6404:18a:5a50:fa6a:e2d3:6430:14e2,entry is 45.61.188.134
2605:6404:18a:5dba:26eb:2e4a:9e76:fead,entry is 45.61.188.134
2605:6404:18a:6a46:82f0:16e2:dfdd:87e9,entry is 45.61.188.134
2605:6404:18a:6a8a:56be:c283:99ca:ea6f,entry is 45.61.188.134
2605:6404:18a:6aa4:8089:fb7f:6bdd:252e,entry is 45.61.188.134
2605:6404:18a:6aa4:9ae8:4d32:181b:79c1,entry is 45.61.188.134
2605:6404:18a:6aa4:dc6b:896f:5887:324b,entry is 45.61.188.134
2605:6404:18a:6c1e:534b:b38b:da4:f069,entry is 45.61.188.134
2605:6404:18a:6c74:2c72:e63d:27f6:e737,entry is 45.61.188.134
2605:6404:18a:6c74:5fd7:92d5:dd5:1672,entry is 45.61.188.134
2605:6404:18a:6c74:6b46:28f2:3e9e:bcf1,entry is 45.61.188.134
2605:6404:18a:6c74:6d87:5606:78c2:ec68,entry is 45.61.188.134
2605:6404:18a:6c74:d7c3:efa:79a4:64d8,entry is 45.61.188.134
2605:6404:18a:6c74:dcd2:2d3d:5bf6:6fc5,entry is 45.61.188.134
2605:6404:18a:6d16:23c2:b56a:a1d6:cf47,entry is 45.61.188.134
2605:6404:18a:6d16:e153:999f:b890:d4cd,entry is 45.61.188.134
2605:6404:18a:967:b6ed:9933:ce39:66f3,entry is 45.61.188.134
2605:6404:18a:cc6f:7c1b:af4:4206:e0a2,entry is 45.61.188.134
2605:6404:18a:dd35:6521:c86d:242f:392f,entry is 45.61.188.134
2605:6404:18a:f0f2:6824:1d58:5a85:9651,entry is 45.61.188.134
2605:6404:18a:f43c:baf:13b3:398c:65ae,entry is 45.61.188.134
2605:fe80:2b:107:1c00:4eff:fe00:466,entry is 183.62.76.91
2607:fb90:6360:4079:8880:62b7:c3c:a77b,entry is 43.250.54.139
2610:150:c001:0:1d2:160a:1825:1a14,entry is 183.62.76.91
2800:490:4001:c900::2,entry is 132.255.23.183
2800:c30:b5d1::12e,entry is 181.209.81.82
2803:1510:26::2,entry is 38.191.88.128
2803:1a00:500e::2,entry is 190.2.209.61
2803:2540:b2:4e::,entry is 177.234.217.82
2803:3c80:8000::46,entry is 179.61.111.209
2803:49e0:6::1,entry is 200.39.152.161
2803:55e0:b001:1357::2,entry is 179.0.183.182
2803:590::6,entry is 138.117.13.129
