#
# Automatically generated CSV file of semi-static open proxy exits
# which have been active for a minimum of 30 days. These proxies have
# a 93.6% statistical likelihood of remaining actively exploitable for
# another 7 days or more.
#
# Generated: Mon Jul 27 02:00:43 2026
# Reference: https://github.com/mannfredcom/semi-static-proxy-ips/
#
proxy exit ip,optional comment
103.122.0.229,entry is 103.122.0.52
103.122.0.230,entry is 103.122.0.52
103.122.1.26,
103.122.1.98,entry is 103.122.0.52
103.122.60.2,entry is 103.122.60.213
103.122.64.139,
103.122.64.163,
103.122.64.222,
103.122.64.232,
103.122.65.242,
103.122.66.164,
103.123.226.134,entry is 202.179.83.169
103.123.227.138,entry is 202.179.85.25
103.123.235.114,
103.123.249.15,entry is 27.50.18.113
103.123.64.234,
103.124.137.33,
103.124.138.149,
103.124.165.204,entry is 91.98.161.17
103.124.197.227,entry is 103.124.199.116
103.124.197.230,entry is 103.124.198.118
103.124.199.122,entry is 103.124.196.134
103.124.251.12,
103.124.251.13,entry is 103.124.251.12
103.124.97.12,
103.125.116.50,entry is 103.125.117.3
103.125.117.134,entry is 103.125.118.132
103.125.117.54,
103.125.155.230,
103.125.155.234,entry is 103.125.154.1
103.125.160.178,
103.125.212.130,entry is 103.106.79.98
103.125.254.80,entry is 35.247.136.78
103.125.254.88,entry is 35.247.136.78
103.125.255.120,entry is 35.247.136.78
103.125.255.149,entry is 35.247.136.78
103.125.255.179,entry is 35.247.136.78
103.125.36.120,
103.125.50.234,
103.125.56.83,
103.126.119.110,
103.126.218.189,entry is 103.126.218.179
103.126.86.104,entry is 103.126.86.98
103.126.86.239,
103.126.86.27,
103.126.87.115,entry is 103.126.87.112
103.126.87.120,
103.126.87.125,
103.126.87.175,
103.126.87.183,entry is 103.126.87.181
103.126.87.70,entry is 103.126.87.182
103.129.127.244,
103.129.180.75,entry is 103.115.44.114
103.129.180.76,entry is 103.115.44.114
103.129.200.131,entry is 103.129.200.129
103.13.204.94,entry is 103.13.204.84
103.13.235.114,
103.13.235.142,
103.13.235.150,
103.13.235.18,
103.13.235.186,
103.13.235.218,
103.13.235.26,
103.130.104.62,entry is 103.130.107.193
103.130.183.59,
103.130.63.15,
103.130.7.11,
103.130.70.242,entry is 103.130.70.253
103.130.82.12,entry is 103.130.82.13
103.131.104.125,
103.131.156.90,entry is 103.229.83.106
103.131.19.30,
103.131.19.33,entry is 157.20.253.194
103.131.19.51,
103.132.152.201,
103.132.41.198,
103.132.52.122,
103.132.52.145,entry is 103.158.253.162
103.132.53.205,entry is 103.132.52.20
103.132.54.150,
103.132.54.18,
103.132.55.142,
103.133.24.5,
103.133.24.75,
103.133.25.119,
103.133.25.149,
103.133.25.247,
103.133.27.11,
103.133.27.143,entry is 103.133.26.45
103.133.27.179,
103.133.27.229,
103.133.27.239,
103.134.1.14,
103.134.220.122,
103.134.220.123,
103.134.220.144,entry is 103.134.220.49
103.134.220.49,
103.134.222.182,entry is 103.134.222.170
103.134.223.1,entry is 103.134.221.52
103.134.223.2,entry is 103.134.221.52
103.134.242.125,entry is 103.134.242.121
103.134.245.127,
103.135.134.165,entry is 103.15.140.177
103.135.227.90,
103.135.48.30,
103.136.107.70,
103.136.170.55,
103.137.193.55,
103.137.218.166,
103.137.35.2,
103.137.85.130,entry is 103.137.84.17
103.137.91.250,
103.138.123.199,entry is 103.138.123.196
103.138.144.202,
103.138.144.238,entry is 103.138.145.228
103.138.145.119,entry is 103.138.145.102
103.138.145.150,
103.138.145.202,
103.138.145.26,entry is 103.138.145.130
103.138.185.2,entry is 103.138.185.81
103.138.71.186,
103.138.71.19,entry is 103.138.71.189
103.138.71.200,entry is 103.138.71.186
103.139.126.211,
103.139.126.25,entry is 103.139.126.85
103.139.127.6,
103.139.242.210,entry is 103.139.242.1
103.139.246.166,
103.139.98.118,
103.139.98.177,
103.139.98.50,
103.139.98.69,
103.139.99.166,entry is 103.139.99.238
103.139.99.222,
103.139.99.230,
103.14.2.109,entry is 103.170.115.158
103.14.2.89,
103.140.188.105,entry is 103.140.188.144
103.140.234.38,
103.140.24.3,entry is 103.140.25.33
103.140.24.5,entry is 103.140.25.153
103.140.24.7,entry is 103.140.25.133
103.140.25.230,
103.140.74.200,
103.141.105.74,
103.141.150.147,
103.141.150.191,
103.141.150.195,
103.141.174.38,
103.141.180.254,
103.141.197.3,
103.141.70.18,
103.142.254.144,entry is 103.142.254.101
103.142.255.32,
103.143.195.3,entry is 103.125.174.123
103.143.196.98,
103.143.197.90,
103.143.214.77,
103.143.214.81,
103.143.63.3,
103.143.8.126,
103.144.102.231,
103.144.102.60,
103.144.146.2,
103.144.18.33,
103.144.18.70,
103.144.18.95,
103.144.186.234,entry is 103.160.40.250
103.145.109.2,
103.145.109.6,entry is 103.145.109.178
103.145.132.185,entry is 103.145.132.184
103.145.133.87,entry is 103.145.133.84
103.145.14.92,
103.145.146.3,
103.145.34.105,entry is 103.145.34.100
103.145.34.109,
103.145.34.112,
103.145.34.129,entry is 103.145.34.9
103.145.34.133,
103.145.34.141,
103.145.34.153,
